order,filename,public_r2,score_decimals
1,catboost_best_submit.csv,0.3693,4
2,catboost_best_lookup_blend_85.csv,0.36894,5
3,catboost_num_a_regularized_lookup_full_submit.csv,0.27663,5
4,catboost_fs_top60_submit.csv,0.37362,5
5,catboost_fs_ensemble_submit.csv,0.37147,5
6,catboost_fs_play_top60_more_trees_submit.csv,0.356,3
7,catboost_fs_play_blend_public_top60_75_bestcv_25.csv,0.36998,5
8,catboost_fs_play_top50_regularized_submit.csv,0.325,3
9,catboost_top60_hypercv_blend_public90_best10.csv,0.37314,5
10,catboost_top60_l2_10_seed707_submit.csv,0.36371,5
11,lgbm_top60_num_regularized_submit.csv,0.23,2
12,lgbm_core_fast_best_submit.csv,0.1934,4
13,catboost_top60_post_unseen_shift_p05.csv,0.37344,5
14,catboost_top60_post_away_l2_03.csv,0.37375,5
15,catboost_top60_post_away_l2_05.csv,0.37382,5
16,catboost_top60_post_away_l2_12.csv,0.37405,5
17,catboost_top60_post_away_l2_20.csv,0.37425,5
18,catboost_top60_post_away_l2_30.csv,0.3744,5
19,catboost_top60_post_away_l2_100.csv,0.37225,5
20,catboost_top60_post_away_l2_50.csv,0.37435,5
21,catboost_top60_post_away_l2_35.csv,0.37443,5
22,catboost_top60_post_away_l2_40.csv,0.37443,5
23,catboost_top60_post_away_l2_37.csv,0.37443,5
24,catboost_denoise_corr095_top50_submit.csv,0.36107,5
25,catboost_top60_post_away_l2_plateau_35_37_40.csv,0.37443,5
26,catboost_top60_post_away_l2_sel_diff_25_35_45.csv,0.37436,5
27,et_aligned_blend_05.csv,0.37466,5
28,et_aligned_blend_15.csv,0.37464,5
29,catboost_domain_top60_mild_submit.csv,0.35112,5
30,et_aligned_blend_07.csv,0.37471,5
31,et_rankblend_top70_preserve_10.csv,0.3758,5
32,et_rankblend_ensemble_preserve_20.csv,0.37937,5
33,et_rankblend_ensemble_preserve_30.csv,0.38006,5
34,hardcode_genre_rank_neo_down_08.csv,0.38223,5
35,hardcode_genre_rank_neo_down_12.csv,0.38332,5
36,hardcode_genre_rank_neo_down_16.csv,0.38425,5
37,hardcode_genre_rank_neo_down_20.csv,0.38523,5
38,hardcode_genre_rank_neo_down_28.csv,0.38707,5
39,hardcode_genre_direct_neo_down_40.csv,0.39031,5
40,hardcode_genre_rank_neo_down_48.csv,0.39076,5
41,hardcode_genre_rank_neo_down_52.csv,0.39138,5
42,hardcode_genre_rank_neo_down_60.csv,0.39241,5
43,hardcode_rank_neo60_progressive_down_08.csv,0.39461,5
44,hardcode_rank_neo60_progressive_down_24.csv,0.3974,5
45,et_rankblend_ensemble_preserve_35.csv,0.37998,5
46,et_rankblend_preserve_40.csv,0.37419,5
47,lb_probe_aggressive_t1000_a050.csv,0.43178,5
48,lb_probe_v8_residual_primary_t3000_a075.csv,0.4615,5
49,lb_probe_v4_contextflip_primary_t3000_a075.csv,0.45903,5
50,lb_probe_v5_refined_primary_t3000_a075.csv,0.4598,5
51,lb_probe_v6_refined_primary_t3000_a075.csv,0.45986,5
52,lb_probe_oof_residual_numeric_rms050.csv,0.45772,5
53,lb_probe_oof_residual_numeric_inverted_rms050.csv,0.46113,5
54,lb_probe_newspace_context_rms075.csv,0.43866,5
55,lb_probe_newspace_hadamard_rms075.csv,0.44691,5
56,lb_probe_v2_primary_t300_a075.csv,0.44622,5
